GLOSATIPOESTABLECIMIENTO,fecha,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
Hospital,2024-04-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,58,0,0,0,32,26
Hospital,2024-04-01,25,Hospitalizaciones - Total,493,18,28,44,227,176
Hospital,2024-05-01,1,Atenciones de urgencia - Total,3978,222,579,768,1811,598
Hospital,2024-05-01,12,Atenciones de urgencia - Total Sistema Circulatorio,154,0,2,2,80,70
Hospital,2024-05-01,13,Atenciones de urgencia - Infarto agudo miocardio,4,0,0,0,2,2
Hospital,2024-05-01,14,Atenciones de urgencia - Accidente vascular encefálico,36,0,0,0,21,15
Hospital,2024-05-01,15,Atenciones de urgencia - Crisis hipertensiva,12,0,0,0,8,4
Hospital,2024-05-01,16,Atenciones de urgencia - Arritmia grave,14,0,0,0,2,12
Hospital,2024-05-01,17,Atenciones de urgencia - Otras causas circulatorias,88,0,2,2,47,37
Hospital,2024-05-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,53,0,0,0,26,27
Hospital,2024-05-01,25,Hospitalizaciones - Total,461,18,21,29,228,165
Hospital,2024-06-01,1,Atenciones de urgencia - Total,3553,187,416,659,1640,651
Hospital,2024-06-01,12,Atenciones de urgencia - Total Sistema Circulatorio,161,0,0,4,80,77
Hospital,2024-06-01,13,Atenciones de urgencia - Infarto agudo miocardio,9,0,0,0,2,7
Hospital,2024-06-01,14,Atenciones de urgencia - Accidente vascular encefálico,22,0,0,0,12,10
Hospital,2024-06-01,15,Atenciones de urgencia - Crisis hipertensiva,7,0,0,0,2,5
Hospital,2024-06-01,16,Atenciones de urgencia - Arritmia grave,17,0,0,0,7,10
Hospital,2024-06-01,17,Atenciones de urgencia - Otras causas circulatorias,106,0,0,4,57,45
Hospital,2024-06-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,62,0,0,0,32,30
Hospital,2024-06-01,25,Hospitalizaciones - Total,473,17,25,27,215,189
Hospital,2024-07-01,1,Atenciones de urgencia - Total,3979,262,420,508,2013,776
Hospital,2024-07-01,12,Atenciones de urgencia - Total Sistema Circulatorio,193,0,2,7,87,97
Hospital,2024-07-01,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,4,4
Hospital,2024-07-01,14,Atenciones de urgencia - Accidente vascular encefálico,25,0,0,0,7,18
Hospital,2024-07-01,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,0,7,2
Hospital,2024-07-01,16,Atenciones de urgencia - Arritmia grave,19,0,0,2,6,11
Hospital,2024-07-01,17,Atenciones de urgencia - Otras causas circulatorias,132,0,2,5,63,62
Hospital,2024-07-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,64,0,0,0,24,40
Hospital,2024-07-01,25,Hospitalizaciones - Total,547,42,34,37,211,223
Hospital,2024-08-01,1,Atenciones de urgencia - Total,4609,244,550,1194,1880,741
Hospital,2024-08-01,12,Atenciones de urgencia - Total Sistema Circulatorio,169,0,2,7,70,90
Hospital,2024-08-01,13,Atenciones de urgencia - Infarto agudo miocardio,9,0,0,0,4,5
Hospital,2024-08-01,14,Atenciones de urgencia - Accidente vascular encefálico,27,0,0,0,12,15
Hospital,2024-08-01,15,Atenciones de urgencia - Crisis hipertensiva,10,0,0,0,5,5
Hospital,2024-08-01,16,Atenciones de urgencia - Arritmia grave,15,0,0,0,3,12
Hospital,2024-08-01,17,Atenciones de urgencia - Otras causas circulatorias,108,0,2,7,46,53
Hospital,2024-08-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,64,0,1,0,19,44
Hospital,2024-08-01,25,Hospitalizaciones - Total,549,32,48,49,201,219
Hospital,2024-09-01,1,Atenciones de urgencia - Total,3843,241,596,776,1698,532
Hospital,2024-09-01,12,Atenciones de urgencia - Total Sistema Circulatorio,142,0,1,4,72,65
Hospital,2024-09-01,13,Atenciones de urgencia - Infarto agudo miocardio,7,0,0,0,6,1
Hospital,2024-09-01,14,Atenciones de urgencia - Accidente vascular encefálico,22,0,0,0,10,12
Hospital,2024-09-01,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,8,0
Hospital,2024-09-01,16,Atenciones de urgencia - Arritmia grave,15,0,0,0,6,9
Hospital,2024-09-01,17,Atenciones de urgencia - Otras causas circulatorias,90,0,1,4,42,43
Hospital,2024-09-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,50,0,0,1,22,27
Hospital,2024-09-01,25,Hospitalizaciones - Total,427,17,35,28,187,160
Hospital,2024-10-01,1,Atenciones de urgencia - Total,4923,228,553,1348,2090,704
Hospital,2024-10-01,12,Atenciones de urgencia - Total Sistema Circulatorio,175,0,0,3,91,81
Hospital,2024-10-01,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,4,4
Hospital,2024-10-01,14,Atenciones de urgencia - Accidente vascular encefálico,27,0,0,0,14,13
Hospital,2024-10-01,15,Atenciones de urgencia - Crisis hipertensiva,10,0,0,0,6,4
Hospital,2024-10-01,16,Atenciones de urgencia - Arritmia grave,16,0,0,2,8,6
Hospital,2024-10-01,17,Atenciones de urgencia - Otras causas circulatorias,114,0,0,1,59,54
Hospital,2024-10-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,53,0,0,0,20,33
Hospital,2024-10-01,25,Hospitalizaciones - Total,504,22,34,51,220,177
Hospital,2024-11-01,1,Atenciones de urgencia - Total,4044,236,490,705,2009,604
Hospital,2024-11-01,12,Atenciones de urgencia - Total Sistema Circulatorio,138,0,0,2,69,67
Hospital,2024-11-01,13,Atenciones de urgencia - Infarto agudo miocardio,10,0,0,0,4,6
Hospital,2024-11-01,14,Atenciones de urgencia - Accidente vascular encefálico,14,0,0,0,5,9
Hospital,2024-11-01,15,Atenciones de urgencia - Crisis hipertensiva,11,0,0,0,4,7
Hospital,2024-11-01,16,Atenciones de urgencia - Arritmia grave,14,0,0,0,4,10
Hospital,2024-11-01,17,Atenciones de urgencia - Otras causas circulatorias,89,0,0,2,52,35
Hospital,2024-11-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,44,0,0,3,16,25
Hospital,2024-11-01,25,Hospitalizaciones - Total,412,13,23,43,198,135
Hospital,2024-12-01,1,Atenciones de urgencia - Total,4087,220,526,832,1883,626
Hospital,2024-12-01,12,Atenciones de urgencia - Total Sistema Circulatorio,137,0,0,3,74,60
Hospital,2024-12-01,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,2,6
Hospital,2024-12-01,14,Atenciones de urgencia - Accidente vascular encefálico,24,0,0,0,12,12
Hospital,2024-12-01,15,Atenciones de urgencia - Crisis hipertensiva,7,0,0,0,4,3
Hospital,2024-12-01,16,Atenciones de urgencia - Arritmia grave,13,0,0,0,5,8
Hospital,2024-12-01,17,Atenciones de urgencia - Otras causas circulatorias,85,0,0,3,51,31
Hospital,2024-12-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,45,0,0,0,20,25
Hospital,2024-12-01,25,Hospitalizaciones - Total,449,16,29,37,209,158
Hospital,2024-01-02,1,Atenciones de urgencia - Total,4596,267,531,671,2313,814
Hospital,2024-01-02,12,Atenciones de urgencia - Total Sistema Circulatorio,161,0,2,1,75,83
Hospital,2024-01-02,13,Atenciones de urgencia - Infarto agudo miocardio,11,0,0,0,6,5
Hospital,2024-01-02,14,Atenciones de urgencia - Accidente vascular encefálico,17,0,0,0,8,9
Hospital,2024-01-02,15,Atenciones de urgencia - Crisis hipertensiva,5,0,0,0,3,2
Hospital,2024-01-02,16,Atenciones de urgencia - Arritmia grave,15,0,0,0,6,9
Hospital,2024-01-02,17,Atenciones de urgencia - Otras causas circulatorias,113,0,2,1,52,58
Hospital,2024-01-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,50,0,0,0,22,28
Hospital,2024-01-02,25,Hospitalizaciones - Total,520,33,26,47,237,177
Hospital,2024-02-02,1,Atenciones de urgencia - Total,3904,249,375,547,2035,698
Hospital,2024-02-02,12,Atenciones de urgencia - Total Sistema Circulatorio,171,0,0,4,84,83
Hospital,2024-02-02,13,Atenciones de urgencia - Infarto agudo miocardio,2,0,0,0,2,0
Hospital,2024-02-02,14,Atenciones de urgencia - Accidente vascular encefálico,29,0,0,0,9,20
Hospital,2024-02-02,15,Atenciones de urgencia - Crisis hipertensiva,15,0,0,1,11,3
Hospital,2024-02-02,16,Atenciones de urgencia - Arritmia grave,9,0,0,1,4,4
Hospital,2024-02-02,17,Atenciones de urgencia - Otras causas circulatorias,116,0,0,2,58,56
Hospital,2024-02-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,45,0,0,0,21,24
Hospital,2024-02-02,25,Hospitalizaciones - Total,476,20,15,21,258,162
Hospital,2024-03-02,1,Atenciones de urgencia - Total,3738,230,324,490,1996,698
Hospital,2024-03-02,12,Atenciones de urgencia - Total Sistema Circulatorio,194,2,7,12,104,69
Hospital,2024-03-02,13,Atenciones de urgencia - Infarto agudo miocardio,4,0,0,0,1,3
Hospital,2024-03-02,14,Atenciones de urgencia - Accidente vascular encefálico,33,0,0,0,16,17
Hospital,2024-03-02,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,4,4
Hospital,2024-03-02,16,Atenciones de urgencia - Arritmia grave,17,0,0,0,9,8
Hospital,2024-03-02,17,Atenciones de urgencia - Otras causas circulatorias,132,2,7,12,74,37
Hospital,2024-03-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,53,0,0,1,25,27
Hospital,2024-03-02,25,Hospitalizaciones - Total,450,22,15,24,227,162
Hospital,2024-04-02,1,Atenciones de urgencia - Total,5082,247,589,1327,2251,668
Hospital,2024-04-02,12,Atenciones de urgencia - Total Sistema Circulatorio,173,0,2,1,94,76
Hospital,2024-04-02,13,Atenciones de urgencia - Infarto agudo miocardio,3,0,0,0,1,2
Hospital,2024-04-02,14,Atenciones de urgencia - Accidente vascular encefálico,26,0,0,0,12,14
Hospital,2024-04-02,15,Atenciones de urgencia - Crisis hipertensiva,17,0,0,0,9,8
Hospital,2024-04-02,16,Atenciones de urgencia - Arritmia grave,10,0,0,0,4,6
Hospital,2024-04-02,17,Atenciones de urgencia - Otras causas circulatorias,117,0,2,1,68,46
Hospital,2024-04-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,47,0,0,0,18,29
Hospital,2024-04-02,25,Hospitalizaciones - Total,534,22,31,40,265,176
Hospital,2024-05-02,1,Atenciones de urgencia - Total,5157,271,670,1350,2102,764
Hospital,2024-05-02,12,Atenciones de urgencia - Total Sistema Circulatorio,181,0,0,3,84,94
Hospital,2024-05-02,13,Atenciones de urgencia - Infarto agudo miocardio,14,0,0,0,8,6
Hospital,2024-05-02,14,Atenciones de urgencia - Accidente vascular encefálico,21,0,0,0,10,11
Hospital,2024-05-02,15,Atenciones de urgencia - Crisis hipertensiva,11,0,0,0,6,5
Hospital,2024-05-02,16,Atenciones de urgencia - Arritmia grave,21,0,0,0,6,15
Hospital,2024-05-02,17,Atenciones de urgencia - Otras causas circulatorias,114,0,0,3,54,57
Hospital,2024-05-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,61,0,0,0,27,34
Hospital,2024-05-02,25,Hospitalizaciones - Total,453,12,29,40,198,174
Hospital,2024-06-02,1,Atenciones de urgencia - Total,3737,185,501,694,1776,581
Hospital,2024-06-02,12,Atenciones de urgencia - Total Sistema Circulatorio,123,0,2,2,66,53
Hospital,2024-06-02,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,7,1
Hospital,2024-06-02,14,Atenciones de urgencia - Accidente vascular encefálico,19,0,0,0,10,9
Hospital,2024-06-02,15,Atenciones de urgencia - Crisis hipertensiva,6,0,0,0,2,4
Hospital,2024-06-02,16,Atenciones de urgencia - Arritmia grave,12,0,0,0,4,8
Hospital,2024-06-02,17,Atenciones de urgencia - Otras causas circulatorias,78,0,2,2,43,31
Hospital,2024-06-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,54,0,1,0,29,24
Hospital,2024-06-02,25,Hospitalizaciones - Total,474,16,34,28,232,164
Hospital,2024-07-02,1,Atenciones de urgencia - Total,3869,240,458,469,1935,767
Hospital,2024-07-02,12,Atenciones de urgencia - Total Sistema Circulatorio,196,0,4,3,94,95
Hospital,2024-07-02,13,Atenciones de urgencia - Infarto agudo miocardio,10,0,0,0,5,5
Hospital,2024-07-02,14,Atenciones de urgencia - Accidente vascular encefálico,25,0,0,0,12,13
Hospital,2024-07-02,15,Atenciones de urgencia - Crisis hipertensiva,16,0,0,0,9,7
Hospital,2024-07-02,16,Atenciones de urgencia - Arritmia grave,23,0,0,1,9,13
Hospital,2024-07-02,17,Atenciones de urgencia - Otras causas circulatorias,122,0,4,2,59,57
Hospital,2024-07-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,72,0,0,0,36,36
Hospital,2024-07-02,25,Hospitalizaciones - Total,574,37,47,34,255,201
Hospital,2024-08-02,1,Atenciones de urgencia - Total,3309,193,373,486,1607,650
Hospital,2024-08-02,12,Atenciones de urgencia - Total Sistema Circulatorio,191,0,0,1,118,72
Hospital,2024-08-02,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,3,5
Hospital,2024-08-02,14,Atenciones de urgencia - Accidente vascular encefálico,31,0,0,0,16,15
Hospital,2024-08-02,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,0,5,4
Hospital,2024-08-02,16,Atenciones de urgencia - Arritmia grave,46,0,0,0,38,8
Hospital,2024-08-02,17,Atenciones de urgencia - Otras causas circulatorias,97,0,0,1,56,40
Hospital,2024-08-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,54,0,0,0,25,29
Hospital,2024-08-02,25,Hospitalizaciones - Total,474,13,39,31,216,175
Hospital,2024-09-02,1,Atenciones de urgencia - Total,5265,299,672,1353,2178,763
Hospital,2024-09-02,12,Atenciones de urgencia - Total Sistema Circulatorio,189,0,1,2,82,104
Hospital,2024-09-02,13,Atenciones de urgencia - Infarto agudo miocardio,13,0,0,0,5,8
Hospital,2024-09-02,14,Atenciones de urgencia - Accidente vascular encefálico,34,0,0,0,12,22
Hospital,2024-09-02,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,5,3
Hospital,2024-09-02,16,Atenciones de urgencia - Arritmia grave,20,0,0,0,9,11
Hospital,2024-09-02,17,Atenciones de urgencia - Otras causas circulatorias,114,0,1,2,51,60
Hospital,2024-09-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,56,0,0,0,24,32
Hospital,2024-09-02,25,Hospitalizaciones - Total,525,23,36,44,226,196
Hospital,2024-10-02,1,Atenciones de urgencia - Total,5024,226,566,1354,2109,769
Hospital,2024-10-02,12,Atenciones de urgencia - Total Sistema Circulatorio,183,0,0,3,90,90
Hospital,2024-10-02,13,Atenciones de urgencia - Infarto agudo miocardio,11,0,0,0,3,8
Hospital,2024-10-02,14,Atenciones de urgencia - Accidente vascular encefálico,24,0,0,0,12,12
Hospital,2024-10-02,15,Atenciones de urgencia - Crisis hipertensiva,10,0,0,0,8,2
Hospital,2024-10-02,16,Atenciones de urgencia - Arritmia grave,11,0,0,0,4,7
Hospital,2024-10-02,17,Atenciones de urgencia - Otras causas circulatorias,127,0,0,3,63,61
Hospital,2024-10-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,56,0,0,0,20,36
Hospital,2024-10-02,25,Hospitalizaciones - Total,539,22,30,47,234,206
Hospital,2024-11-02,1,Atenciones de urgencia - Total,4111,290,528,848,1832,613
Hospital,2024-11-02,12,Atenciones de urgencia - Total Sistema Circulatorio,154,1,0,3,84,66
Hospital,2024-11-02,13,Atenciones de urgencia - Infarto agudo miocardio,11,0,0,0,5,6
Hospital,2024-11-02,14,Atenciones de urgencia - Accidente vascular encefálico,30,0,0,0,14,16
Hospital,2024-11-02,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,6,2
Hospital,2024-11-02,16,Atenciones de urgencia - Arritmia grave,11,0,0,1,6,4
Hospital,2024-11-02,17,Atenciones de urgencia - Otras causas circulatorias,94,1,0,2,53,38
Hospital,2024-11-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,56,0,0,1,19,36
Hospital,2024-11-02,25,Hospitalizaciones - Total,453,18,29,42,202,162
Hospital,2024-12-02,1,Atenciones de urgencia - Total,5313,280,595,1290,2368,780
Hospital,2024-12-02,12,Atenciones de urgencia - Total Sistema Circulatorio,206,0,0,0,97,109
Hospital,2024-12-02,13,Atenciones de urgencia - Infarto agudo miocardio,5,0,0,0,3,2
Hospital,2024-12-02,14,Atenciones de urgencia - Accidente vascular encefálico,32,0,0,0,14,18
Hospital,2024-12-02,15,Atenciones de urgencia - Crisis hipertensiva,17,0,0,0,10,7
Hospital,2024-12-02,16,Atenciones de urgencia - Arritmia grave,17,0,0,0,8,9
Hospital,2024-12-02,17,Atenciones de urgencia - Otras causas circulatorias,135,0,0,0,62,73
Hospital,2024-12-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,55,0,0,0,24,31
Hospital,2024-12-02,25,Hospitalizaciones - Total,509,26,22,41,243,177
Hospital,2024-01-03,1,Atenciones de urgencia - Total,4448,295,528,695,2165,765
Hospital,2024-01-03,12,Atenciones de urgencia - Total Sistema Circulatorio,176,0,1,3,86,86
Hospital,2024-01-03,13,Atenciones de urgencia - Infarto agudo miocardio,3,0,0,0,2,1
Hospital,2024-01-03,14,Atenciones de urgencia - Accidente vascular encefálico,28,0,0,0,16,12
Hospital,2024-01-03,15,Atenciones de urgencia - Crisis hipertensiva,6,0,0,0,4,2
Hospital,2024-01-03,16,Atenciones de urgencia - Arritmia grave,18,0,0,0,9,9
Hospital,2024-01-03,17,Atenciones de urgencia - Otras causas circulatorias,121,0,1,3,55,62
Hospital,2024-01-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,74,0,0,2,34,38
Hospital,2024-01-03,25,Hospitalizaciones - Total,558,24,17,42,279,196
Hospital,2024-02-03,1,Atenciones de urgencia - Total,3732,280,370,516,1893,673
Hospital,2024-02-03,12,Atenciones de urgencia - Total Sistema Circulatorio,151,2,1,4,78,66
Hospital,2024-02-03,13,Atenciones de urgencia - Infarto agudo miocardio,5,1,0,0,2,2
Hospital,2024-02-03,14,Atenciones de urgencia - Accidente vascular encefálico,27,0,0,0,13,14
Hospital,2024-02-03,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,6,2
Hospital,2024-02-03,16,Atenciones de urgencia - Arritmia grave,22,1,1,0,10,10
Hospital,2024-02-03,17,Atenciones de urgencia - Otras causas circulatorias,89,0,0,4,47,38
Hospital,2024-02-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,50,0,0,0,22,28
Hospital,2024-02-03,25,Hospitalizaciones - Total,444,16,12,29,217,170
Hospital,2024-03-03,1,Atenciones de urgencia - Total,3839,209,401,521,2100,608
Hospital,2024-03-03,12,Atenciones de urgencia - Total Sistema Circulatorio,146,0,3,6,76,61
Hospital,2024-03-03,13,Atenciones de urgencia - Infarto agudo miocardio,2,0,0,0,0,2
Hospital,2024-03-03,14,Atenciones de urgencia - Accidente vascular encefálico,28,0,0,0,14,14
Hospital,2024-03-03,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,1,6,2
Hospital,2024-03-03,16,Atenciones de urgencia - Arritmia grave,14,0,0,0,6,8
Hospital,2024-03-03,17,Atenciones de urgencia - Otras causas circulatorias,93,0,3,5,50,35
Hospital,2024-03-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,34,0,2,0,13,19
Hospital,2024-03-03,25,Hospitalizaciones - Total,381,11,21,16,201,132
Hospital,2024-04-03,1,Atenciones de urgencia - Total,5001,250,558,1275,2201,717
Hospital,2024-04-03,12,Atenciones de urgencia - Total Sistema Circulatorio,155,0,0,3,71,81
Hospital,2024-04-03,13,Atenciones de urgencia - Infarto agudo miocardio,6,0,0,0,1,5
Hospital,2024-04-03,14,Atenciones de urgencia - Accidente vascular encefálico,25,0,0,0,11,14
Hospital,2024-04-03,15,Atenciones de urgencia - Crisis hipertensiva,15,0,0,0,8,7
Hospital,2024-04-03,16,Atenciones de urgencia - Arritmia grave,18,0,0,0,5,13
Hospital,2024-04-03,17,Atenciones de urgencia - Otras causas circulatorias,91,0,0,3,46,42
Hospital,2024-04-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,55,0,0,0,21,34
Hospital,2024-04-03,25,Hospitalizaciones - Total,538,17,26,46,258,191
Hospital,2024-05-03,1,Atenciones de urgencia - Total,4794,229,599,1127,2087,752
Hospital,2024-05-03,12,Atenciones de urgencia - Total Sistema Circulatorio,182,0,0,6,99,77
Hospital,2024-05-03,13,Atenciones de urgencia - Infarto agudo miocardio,7,0,0,0,1,6
Hospital,2024-05-03,14,Atenciones de urgencia - Accidente vascular encefálico,28,0,0,0,17,11
Hospital,2024-05-03,15,Atenciones de urgencia - Crisis hipertensiva,14,0,0,0,12,2
Hospital,2024-05-03,16,Atenciones de urgencia - Arritmia grave,14,0,0,0,5,9
Hospital,2024-05-03,17,Atenciones de urgencia - Otras causas circulatorias,119,0,0,6,64,49
Hospital,2024-05-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,54,0,0,0,29,25
Hospital,2024-05-03,25,Hospitalizaciones - Total,521,20,32,37,243,189
Hospital,2024-06-03,1,Atenciones de urgencia - Total,5091,192,596,1374,2192,737
Hospital,2024-06-03,12,Atenciones de urgencia - Total Sistema Circulatorio,171,0,3,5,90,73
Hospital,2024-06-03,13,Atenciones de urgencia - Infarto agudo miocardio,9,0,0,0,5,4
Hospital,2024-06-03,14,Atenciones de urgencia - Accidente vascular encefálico,21,0,0,0,13,8
Hospital,2024-06-03,15,Atenciones de urgencia - Crisis hipertensiva,13,0,0,0,6,7
Hospital,2024-06-03,16,Atenciones de urgencia - Arritmia grave,13,0,0,1,7,5
Hospital,2024-06-03,17,Atenciones de urgencia - Otras causas circulatorias,115,0,3,4,59,49
Hospital,2024-06-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,63,0,0,0,36,27
Hospital,2024-06-03,25,Hospitalizaciones - Total,541,19,23,44,247,208
Hospital,2024-07-03,1,Atenciones de urgencia - Total,3761,211,417,418,1942,773
Hospital,2024-07-03,12,Atenciones de urgencia - Total Sistema Circulatorio,187,0,1,1,88,97
Hospital,2024-07-03,13,Atenciones de urgencia - Infarto agudo miocardio,11,0,0,0,7,4
Hospital,2024-07-03,14,Atenciones de urgencia - Accidente vascular encefálico,26,0,0,0,9,17
Hospital,2024-07-03,15,Atenciones de urgencia - Crisis hipertensiva,13,0,0,0,9,4
Hospital,2024-07-03,16,Atenciones de urgencia - Arritmia grave,19,0,0,0,3,16
Hospital,2024-07-03,17,Atenciones de urgencia - Otras causas circulatorias,118,0,1,1,60,56
Hospital,2024-07-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,74,0,0,0,30,44
Hospital,2024-07-03,25,Hospitalizaciones - Total,578,28,45,26,263,216
Hospital,2024-08-03,1,Atenciones de urgencia - Total,3510,270,540,527,1562,611
Hospital,2024-08-03,12,Atenciones de urgencia - Total Sistema Circulatorio,115,0,1,2,65,47
Hospital,2024-08-03,13,Atenciones de urgencia - Infarto agudo miocardio,10,0,0,0,7,3
Hospital,2024-08-03,14,Atenciones de urgencia - Accidente vascular encefálico,26,0,0,0,12,14
Hospital,2024-08-03,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,0,5,4
Hospital,2024-08-03,16,Atenciones de urgencia - Arritmia grave,9,0,0,0,6,3
Hospital,2024-08-03,17,Atenciones de urgencia - Otras causas circulatorias,61,0,1,2,35,23
Hospital,2024-08-03,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,42,0,0,0,19,23
Hospital,2024-08-03,25,Hospitalizaciones - Total,534,28,50,22,214,220
Hospital,2024-09-03,1,Atenciones de urgencia - Total,4925,271,614,1286,2042,712
Hospital,2024-09-03,12,Atenciones de urgencia - Total Sistema Circulatorio,155,0,1,4,74,76
